O*NET-SOC 2010 Code,O*NET-SOC 2010 Title,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title,2018 SOC Code,2018 SOC Title,title,teleworkable,2010 Census Code
11-1011.00,Chief Executives,11-1011.00,Chief Executives,11-1011,Chief Executives,Chief Executives,1.0,0010
11-1011.03,Chief Sustainability Officers,11-1011.03,Chief Sustainability Officers,11-1011,Chief Executives,Chief Sustainability Officers,1.0,0010
11-1021.00,General and Operations Managers,11-1021.00,General and Operations Managers,11-1021,General and Operations Managers,General and Operations Managers,1.0,0020
11-1031.00,Legislators,11-1031.00,Legislators,11-1031,Legislators,,,0030
11-2011.00,Advertising and Promotions Managers,11-2011.00,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,Advertising and Promotions Managers,1.0,0040
11-2011.01,Green Marketers,11-2011.00,Advertising and Promotions Managers,11-2011,Advertising and Promotions Managers,,,0040
11-2021.00,Marketing Managers,11-2021.00,Marketing Managers,11-2021,Marketing Managers,Marketing Managers,1.0,0050
11-2022.00,Sales Managers,11-2022.00,Sales Managers,11-2022,Sales Managers,Sales Managers,1.0,0050
11-2031.00,Public Relations and Fundraising Managers,11-2032.00,Public Relations Managers,11-2032,Public Relations Managers,Public Relations and Fundraising Managers,1.0,0060
11-2031.00,Public Relations and Fundraising Managers,11-2033.00,Fundraising Managers,11-2033,Fundraising Managers,Public Relations and Fundraising Managers,1.0,0060
11-3011.00,Administrative Services Managers,11-3012.00,Administrative Services Managers,11-3012,Administrative Services Managers,Administrative Services Managers,1.0,0100
11-3011.00,Administrative Services Managers,11-3013.00,Facilities Managers,11-3013,Facilities Managers,Administrative Services Managers,1.0,0100
11-3021.00,Computer and Information Systems Managers,11-3021.00,Computer and Information Systems Managers,11-3021,Computer and Information Systems Managers,Computer and Information Systems Managers,1.0,0110
11-3031.00,Financial Managers,11-3031.00,Financial Managers,11-3031,Financial Managers,,,0120
11-3031.01,Treasurers and Controllers,11-3031.01,Treasurers and Controllers,11-3031,Financial Managers,Treasurers and Controllers,1.0,0120
11-3031.02,"Financial Managers, Branch or Department",11-3031.00,Financial Managers,11-3031,Financial Managers,"Financial Managers, Branch or Department",1.0,0120
11-3051.00,Industrial Production Managers,11-3051.00,Industrial Production Managers,11-3051,Industrial Production Managers,Industrial Production Managers,0.0,0140
11-3051.01,Quality Control Systems Managers,11-3051.01,Quality Control Systems Managers,11-3051,Industrial Production Managers,Quality Control Systems Managers,0.0,0140
11-3051.02,Geothermal Production Managers,11-3051.02,Geothermal Production Managers,11-3051,Industrial Production Managers,Geothermal Production Managers,0.0,0140
11-3051.03,Biofuels Production Managers,11-3051.03,Biofuels Production Managers,11-3051,Industrial Production Managers,Biofuels Production Managers,0.0,0140
11-3051.04,Biomass Power Plant Managers,11-3051.04,Biomass Power Plant Managers,11-3051,Industrial Production Managers,Biomass Power Plant Managers,0.0,0140
11-3051.05,Methane/Landfill Gas Collection System Operators,11-3051.00,Industrial Production Managers,11-3051,Industrial Production Managers,,,0140
11-3051.06,Hydroelectric Production Managers,11-3051.06,Hydroelectric Production Managers,11-3051,Industrial Production Managers,Hydroelectric Production Managers,0.0,0140
11-3061.00,Purchasing Managers,11-3061.00,Purchasing Managers,11-3061,Purchasing Managers,Purchasing Managers,1.0,0150
11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",,,0160
11-3071.01,Transportation Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",Transportation Managers,1.0,0160
11-3071.02,Storage and Distribution Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",Storage and Distribution Managers,0.0,0160
11-3071.03,Logistics Managers,11-3071.00,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers",Logistics Managers,1.0,0160
11-3111.00,Compensation and Benefits Managers,11-3111.00,Compensation and Benefits Managers,11-3111,Compensation and Benefits Managers,Compensation and Benefits Managers,1.0,0135
11-3121.00,Human Resources Managers,11-3121.00,Human Resources Managers,11-3121,Human Resources Managers,Human Resources Managers,1.0,0136
11-3131.00,Training and Development Managers,11-3131.00,Training and Development Managers,11-3131,Training and Development Managers,Training and Development Managers,1.0,0137
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",,,0205
11-9013.01,Nursery and Greenhouse Managers,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Nursery and Greenhouse Managers,0.0,0205
11-9013.02,Farm and Ranch Managers,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Farm and Ranch Managers,0.0,0205
11-9013.03,Aquacultural Managers,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Aquacultural Managers,0.0,0205
11-9021.00,Construction Managers,11-9021.00,Construction Managers,11-9021,Construction Managers,Construction Managers,0.0,0220
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",11-9031,"Education and Childcare Administrators, Preschool and Daycare","Education Administrators, Preschool and Childcare Center/Program",0.0,0230
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9032.00,"Education Administrators, Kindergarten through Secondary",11-9032,"Education Administrators, Kindergarten through Secondary","Education Administrators, Elementary and Secondary School",1.0,0230
11-9033.00,"Education Administrators, Postsecondary",11-9033.00,"Education Administrators, Postsecondary",11-9033,"Education Administrators, Postsecondary","Education Administrators, Postsecondary",1.0,0230
11-9039.00,"Education Administrators, All Other",11-9039.00,"Education Administrators, All Other",11-9039,"Education Administrators, All Other",,,0230
